729	635	534	776	381	350	698	817	40	376
223	705	111	279	205	490	406	208	466	879
554	426	164	768	540	480	991	632	622	727
862	46	624	841	242	63	625	684	333	646
505	371	890	646	898	17	608	858	652	445
496	89	937	428	390	108	850	703	462	922
722	685	106	360	840	874	457	363	766	691
165	109	290	244	663	788	13	282	961	797
985	910	769	280	234	831	156	399	11	200
918	244	436	633	922	874	490	296	788	659
868	212	398	298	132	115	352	284	838	472
823	541	727	473	750	122	966	808	940	663
864	332	195	803	985	726	319	30	31	845
904	622	79	299	766	341	1000	87	917	322
940	115	190	908	860	254	964	355	472	830
524	744	28	58	924	71	298	393	784	43
96	329	306	24	5	991	786	965	480	111
949	457	668	699	237	691	242	491	594	132
219	812	205	802	467	90	875	159	257	84
657	677	740	418	508	49	50	982	7	25
298	107	348	542	851	917	898	511	928	189
278	869	708	302	137	657	630	341	312	465
598	478	207	407	494	809	808	181	15	46
641	926	817	975	66	285	260	949	368	295
619	117	441	658	499	808	96	487	515	659
184	627	576	835	917	730	688	838	942	223
294	442	790	495	337	876	226	949	362	877
260	201	152	230	749	251	908	722	765	993
281	647	532	404	897	748	388	506	17	542
331	938	602	853	911	289	400	778	979	639
612	500	283	164	723	708	178	975	99	466
342	835	508	578	406	203	398	838	510	627
309	499	24	916	394	821	813	816	647	980
277	16	500	209	710	494	413	856	347	63
734	443	15	798	324	985	935	800	926	798
742	349	404	185	726	827	315	200	5	244
981	850	833	841	890	734	490	228	461	724
736	491	902	811	279	906	682	407	727	540
535	337	693	716	674	570	720	839	664	54
670	147	378	6	669	292	57	522	610	998
488	129	531	200	180	736	184	614	880	638
913	200	145	883	786	3	728	249	285	766
535	32	88	88	89	69	377	574	467	340
62	580	562	224	85	433	63	352	565	203
270	238	818	262	570	923	369	107	84	228
982	613	843	358	526	430	13	761	581	709
468	179	445	793	133	587	525	81	387	103
608	517	479	314	184	641	61	424	229	674
168	472	16	267	842	105	32	59	859	982
820	979	268	787	758	115	536	380	862	570
940	580	55	735	403	896	569	301	625	239
978	935	236	642	549	804	818	243	154	832
271	290	783	27	215	85	624	691	193	755
21	582	357	156	841	589	456	900	544	264
123	956	575	607	231	313	279	133	126	245
836	105	696	127	927	75	425	992	77	995
20	205	379	792	661	427	881	873	837	970
407	924	643	224	182	27	435	722	991	14
269	571	745	708	776	562	432	279	321	230
944	816	602	20	546	335	937	217	157	986
929	710	30	975	978	638	190	387	865	894
587	1000	648	565	726	667	138	680	595	947
705	430	747	163	106	704	327	486	722	344
275	802	857	334	7	301	142	951	936	639
239	776	80	985	132	477	175	172	991	503
39	946	517	576	832	386	468	887	520	967
804	655	385	209	955	41	648	7	459	295
854	705	64	296	275	160	556	763	281	354
736	293	844	569	58	30	184	742	412	840
235	821	509	949	528	538	581	702	807	510
38	736	826	650	983	253	402	938	941	522
103	787	879	142	448	638	835	879	391	689
916	885	616	891	535	810	373	582	335	981
786	51	938	913	474	84	50	160	421	291
866	414	781	110	244	30	237	714	517	49
389	197	851	783	37	205	864	214	394	520
768	716	331	12	519	446	970	786	964	463
578	130	792	8	247	700	759	780	540	890
834	851	155	719	285	860	703	646	343	822
290	790	970	780	426	827	490	866	111	279
262	240	585	734	741	574	538	518	565	492
854	925	263	185	942	420	450	63	434	967
298	469	353	482	748	938	815	318	900	244
710	340	297	628	861	432	651	463	274	494
885	696	322	501	355	886	337	6	848	286
379	618	614	140	564	551	148	541	564	480
586	342	910	531	881	174	494	400	988	372
508	339	877	853	520	21	906	744	997	425
493	851	524	639	872	609	156	545	215	590
58	583	14	251	596	25	94	831	567	672
829	91	268	991	350	124	784	282	719	186
372	561	544	148	104	343	531	804	680	948
857	719	226	331	987	716	93	870	716	414
413	673	410	85	88	6	577	816	934	837
436	61	334	411	914	318	214	185	867	860
83	176	733	303	130	482	411	409	434	645
284	176	738	864	852	2	442	791	849	586
648	962	459	184	359	652	576	757	772	272
865	906	912	781	660	190	586	506	176	910
865	665	805	615	63	904	980	460	18	493
774	572	65	289	834	15	529	376	141	989
469	460	200	800	78	516	620	762	421	877
600	967	510	970	133	872	771	399	746	905
184	75	334	570	246	1000	448	514	473	265
398	866	400	55	47	302	32	720	672	153
854	11	858	60	828	980	552	58	339	643
204	382	155	271	251	5	363	463	740	898
509	739	310	169	918	97	823	479	623	54
999	355	311	712	595	189	679	766	428	235
607	583	843	899	581	238	170	376	271	523
